X,type
ALPP,gene2
TNFRSF11B,gene2
LINC00623,gene2
PIK3CA,gene2
ADD3-AS1,gene
LINC00623,gene
DTX2P1-UPK3BP1-PMS2P11,gene
TTTY1B,gene
ZNNT1,gene
