"","GSM1550052","GSM1550053","GSM1550054","GSM1550055","GSM1550056","GSM1550057","GSM1550058","GSM1550059","GSM1550060","GSM1550061","GSM1571226","GSM1571227","GSM1571228","GSM1571229","GSM1571230","GSM1571231","GSM2419971","GSM2419972","GSM2419973"
"hsa-let-7c",7.89433821679024,8.02946184420136,8.07628303936641,8.32025787609727,8.00198155577758,7.7387191188684,8.01971060760551,8.35402298343492,8.53129847849416,7.93448583953378,7.4461693161275,7.81054636550287,7.82199800477229,7.83383211594015,7.9464649126068,8.88179854315678,8.86404178181066,7.52154799883508,7.6389266289974
"hsa-miR-1",-0.790287917279503,-0.247627459446292,0.133571485713502,-0.442504236178358,-0.800522385668412,-0.5902720083235,-0.58392277007236,-0.767358732805776,-0.931818929319448,-0.963078422115662,-0.706959785010467,-0.841563608259653,-0.852255600458106,-0.726531632550422,-0.371617078545991,-0.814847334212675,-0.807536723776699,-0.631103686224202,-0.474643142911641
"hsa-miR-107",10.5591139602023,10.6416920326937,10.6432566383679,10.3867095487584,10.1710864008765,10.621971459002,10.5525098333909,10.505276105078,10.5367082673404,9.950703880777,10.0283280510358,10.2546014817743,10.1766065097931,10.3563604900375,10.5220931309687,10.9421682202125,10.8388228451617,10.3186949357331,10.105044379638
"hsa-miR-1179",-0.728992444093276,-1.14552724614295,-0.955787954783909,-0.779957483950912,-0.808000180722019,-0.967658250855784,-0.901160683722564,-0.658126242595331,-1.02808996718572,-0.985161769889919,-0.881780153832325,-0.991138860034779,-0.999825555593085,-0.897681276648122,-0.609331395482465,-0.969433256926322,-1.04714575695913,-0.906949294129837,-0.739458767154408
"hsa-miR-1180",0.848784771351069,1.08683250202794,1.49219866997565,1.6539462256636,1.91814539611068,1.55616359243198,1.69600345597713,1.37962933759295,1.23552884812992,1.44090260048753,1.21907468627438,2.58331610801729,2.14822596444304,2.2070980231931,-2.27962524516345,2.1871627359761,2.7182348666488,0.69418344567692,0.887528819176537
"hsa-miR-1181",3.01893757424025,2.57975583123679,3.0145606613459,2.94431364285834,2.93539201505299,2.86065351608304,2.75985707414511,2.64314858596333,2.90024138247748,2.51167587181165,2.90147828054919,2.90147828054919,2.8537778664459,2.8072867663227,2.96587298332056,2.46063074271806,2.5595029389682,3.03248658755933,2.93250205347714
"hsa-miR-1182",3.07523631597518,3.0287834380788,3.17890296462373,3.19747861904245,3.41597186162713,3.15420827202308,3.12189007974926,3.09368247986722,2.89348120976327,3.13547973083348,2.88863382412626,3.28954202430329,3.21338791562375,3.08763650601187,2.93454953597046,2.91751140668596,3.40093565400832,3.15219195816832,2.81363225113618
"hsa-miR-1183",3.58021753329171,3.65672197914313,3.44514852417313,3.82622055717385,4.48620974764227,3.1842766834064,3.2087134910901,4.03787716774677,3.64694618958519,3.19591549407622,3.37778042342947,3.67999615709002,3.67999615709002,3.49921149820652,3.39553513759767,3.31131184401361,3.67144333413722,3.81497552014112,3.31677142881291
"hsa-miR-1184",0.0856036626749399,0.0384050610426702,-0.908780639632684,1.93971959217575,-0.0643209466858629,-0.723940020264644,-0.675807429424921,-0.604615890952196,0.119332638441178,0.0197126575667924,-0.278429135073878,-0.427351938560319,-0.439181331029365,-0.300083010385156,0.0925868938168366,-0.397793621911152,-0.41900933169452,-0.0830817985461977,0.102243320154035
"hsa-miR-1193",-0.771391245877628,-1.05015350622478,-0.711183696440248,-0.605028451289841,-0.904989489395732,-0.90959091202454,-0.733545504356015,-0.651842643461989,-0.779926451545109,-0.166060946378165,-0.637234892341308,-0.761971647813197,-0.771879868725294,-0.655372035119228,-0.326474319826935,-0.737213797237523,-0.830161140518811,-0.739972634918596,-0.53995149160738
"hsa-miR-1197",-0.888130411093373,-0.771674579107053,-1.04706785274054,-0.867255293801577,-1.00881526332871,-0.581571707699741,-1.01012612308844,-0.638481514780905,-0.833602324352394,-0.545337809753884,-0.717595264665744,-0.826030941477696,-0.834644317996438,-0.733362175911099,-0.447446078248431,-0.804508541977836,-0.910033272721255,-0.829122613772298,-0.637189799698076
"hsa-miR-1200",-0.636544534462454,-0.765363031203776,-0.88672296437226,-0.960651517473088,-0.956621955980621,-0.838786661613461,-0.930163746836732,-1.01977949173742,-0.969304817171042,-0.901990011368337,-0.8993672563205,-0.997151017785901,-1.00491828018221,-0.913585343333832,-0.655755519101268,-0.977742818928,-1.0266172272477,-0.904973419964289,-0.765434230546608
"hsa-miR-1202",5.23178805866012,5.27002001158384,4.83755305199064,5.84023728300927,7.02797083804563,5.46458428488384,5.54056853804051,5.55711857871807,5.60822305183154,4.89459794685259,5.35975563236856,5.64256489542162,5.53811133448392,5.58302446483354,5.24118873021368,5.25417016941105,5.76117762552107,5.88007300386711,4.98319154628838
"hsa-miR-1203",-0.876480710244813,-0.723407831589141,-0.707311250015212,-0.632206964634442,-0.488423570773786,-0.687422342345652,-0.916589524265691,-0.877903417604233,-0.954239403419716,-0.946449074731609,-0.832956670542926,-0.937792559295611,-0.946119993670091,-0.848200160526005,-0.571775748483588,-0.916984648596893,-0.920909669740163,-0.814183077042476,-0.685470511231842
"hsa-miR-1204",-0.81748152207022,-0.749655254905069,-0.860222986088299,-0.784801536450877,-0.979913711856028,-0.776839648588056,-1.09119452344221,-0.674452624889433,-0.960008243850271,-0.671139662369041,-0.812015541871864,-0.917599631639747,-0.925986497902744,-0.827367822793011,-0.548970603268573,-0.896643217407609,-0.982045209757276,-0.846861155255047,-0.677844969569184
