,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa-miR-492,0.153156707,-0.837138372,2.241625051,0.037537397,0.345230303,-3.784765938
hsa-miR-34c-3p,0.179644158,-0.679165978,2.231801029,0.038287588,0.346874114,-3.80147505
hsa-miR-153,-0.17769652,-0.80950752,-2.21552799,0.039560648,0.35313696,-3.829065708
hsa-miR-569,0.141403363,-0.806998871,2.192983996,0.041388579,0.358380022,-3.867106543
hsa-miR-630,-0.188642612,3.669453206,-2.186576405,0.04192208,0.358380022,-3.877879661
hsa-miR-556-3p,0.153264019,-0.873859853,2.183092765,0.042214767,0.358380022,-3.8837294
hsa-miR-4262,0.145549089,-0.877579941,2.179605197,0.042509657,0.358380022,-3.889580553
hsa-miR-140-5p,-1.135537091,4.417903376,-2.167137169,0.043579368,0.362365427,-3.910455727
hsa-miR-329,-1.001876984,-0.100030202,-2.156991599,0.044467918,0.362365738,-3.927392895
hsa-miR-558,0.149809969,-0.892890263,2.153546746,0.044773361,0.362365738,-3.933133611
hsa-miR-1182,-0.162692973,3.104901897,-2.135305134,0.046422929,0.370772607,-3.963445859
hsa-miR-579,0.144041753,-0.829185226,2.124195785,0.047454478,0.370991248,-3.981834293
hsa-miR-502-5p,0.303941914,-0.52464313,2.121874032,0.047672681,0.370991248,-3.985670359
