"","LINC00342","GS1-600G8.3","RFPL3S","MCF2L-AS1","DELEC1","KIAA0087","RNF185-AS1","ZNNT1","DDR1-DT","SNHG3","FAM182B","KCNK4-TEX40","TTTY1B","HEXIM2-AS1","FAM215A","ADD3-AS1","SMIM10L1","LINC00623","ENTPD1-AS1","BTG2-DT","MAGEA10-MAGEA5","DTX2P1-UPK3BP1-PMS2P11","ELOA-AS1","HHLA3","C3orf36","riskscore"
"GSM1369811",4.42592362305456,5.54817198823641,5.27892507527203,6.32959868993503,5.29358063869411,4.73743253569962,6.24835604684595,6.12465119243442,4.44375930127759,4.80514463520087,6.07608644996965,7.06193001310259,6.37480573768061,6.22851675367766,6.36796398908702,6.43970718784777,5.14179129476641,7.42937774459145,6.78448234534419,6.38245459995905,5.20310549543659,11.1099993593513,6.04376915634506,5.07804898665758,6.12767249281962,4.69170245658852
"GSM1369810",4.33616545991099,5.60885082984901,5.32294215370098,6.27982671400813,5.24407530029305,4.72953915152576,6.27592753545934,6.02127881432998,4.4728735993995,4.77394165300857,6.10085664003469,7.19231894203731,6.32624060104402,6.16270364523958,6.38824576833867,6.38158174428225,4.95005400989274,7.27296756948425,6.74619146196014,6.54683160604192,5.19083364682949,11.0513099429354,6.11731587112208,4.99058173015912,6.14146408307898,4.68856717958041
"GSM1369809",4.39748718324983,5.59118747974517,5.03421521698956,6.34007198225298,5.33588900509927,4.76737967878315,6.39291485118449,6.18385667012604,4.43035917355737,4.78957278925932,5.92114776775227,7.01253936450392,6.29673917927114,5.99119761358187,6.37345110567547,6.41458788242364,5.10752889791535,7.44299018497919,6.7155814492042,6.40274420328097,5.20869300447191,11.1240340815473,6.02554854278727,5.11732382869554,6.18560532813568,4.6763056505054
"GSM1369808",4.43436015732996,5.49272362404573,5.42393443992835,6.42634395395185,5.23522224111353,4.73022070643699,6.23955351420889,6.02734426611415,4.38404140217077,4.71034833792837,6.24422142826126,6.89417694910046,6.50582967018208,6.33527438266093,6.38806159110979,6.47592168197649,5.39988655759563,7.53801682617924,6.8238834779621,6.30408917470285,5.23585952143191,10.9501648820549,6.10019676767482,5.01619874757177,5.9038901328811,4.65007796912399
"GSM1369807",4.53568169172763,5.49992601930587,5.3346084904694,6.27215210952731,5.35913600827072,4.72259060605272,6.08502828653123,6.26612501916773,4.48776302998285,4.94671576060736,6.03811996383052,7.14868479676889,6.37041350022539,6.42489137322848,6.32209749122431,6.48673744270888,5.10969571366216,7.46353639772335,6.85227299225054,6.2761534158106,5.17703580901318,11.314488530868,5.93201544379626,5.18809164020407,6.27973042718287,4.75185902714441
"GSM1369806",4.46533949344282,5.59398385477942,5.2779383431933,6.14084763651271,5.21839527564178,4.70962362199336,6.28796205349555,6.11033899708029,4.46908783437932,4.88982461285317,5.98385704998799,7.13659843037676,6.41931149249496,6.14672751931045,6.292440164695,6.45264891344673,5.02852319315057,7.28863905356339,6.69406043555571,6.49426493185242,5.20263250979882,11.1094208897592,6.05654288792439,5.07837621579914,6.14550634880508,4.73390713446093
"GSM1369805",4.42592362305459,5.54817198823644,5.27892507527206,6.32959868993506,5.29358063869414,4.73743253569965,6.24835604684597,6.12465119243446,4.44375930127761,4.8051446352009,6.07608644996968,7.06193001310264,6.37480573768065,6.2285167536777,6.36796398908705,6.43970718784781,5.14179129476646,7.42937774459149,6.78448234534423,6.38245459995908,5.20310549543662,11.1099993593514,6.04376915634509,5.07804898665762,6.12767249281965,4.69170245658855
"GSM1369804",4.38650775266605,5.50236012169315,5.27991180735051,6.51834974335707,5.36876600174618,4.76524144940564,6.20875004019603,6.13896338778823,4.41843076817564,4.72046465754831,6.16831584995101,6.98726159582808,6.33029998286601,6.31030598804453,6.44348781347875,6.42676546224854,5.25505939638189,7.57011643561906,6.87490425513236,6.27064426806538,5.20357848107411,11.110577828943,6.03099542476541,5.07772175751578,6.10983863683387,4.64949777871595
"GSM1369803",4.42592362305459,5.54817198823644,5.27892507527206,6.32959868993506,5.29358063869413,4.73743253569965,6.24835604684597,6.12465119243446,4.44375930127761,4.8051446352009,6.07608644996968,7.06193001310263,6.37480573768064,6.22851675367769,6.36796398908705,6.4397071878478,5.14179129476645,7.42937774459148,6.78448234534423,6.38245459995908,5.20310549543662,11.1099993593514,6.04376915634509,5.07804898665762,6.12767249281965,4.69170245658856
"GSM1369802",4.42592362305452,5.54817198823637,5.278925075272,6.32959868993499,5.29358063869407,4.73743253569958,6.2483560468459,6.12465119243437,4.44375930127756,4.80514463520084,6.0760864499696,7.06193001310254,6.37480573768057,6.22851675367761,6.36796398908697,6.43970718784773,5.14179129476636,7.42937774459137,6.78448234534414,6.38245459995901,5.20310549543655,11.1099993593512,6.04376915634501,5.07804898665754,6.12767249281957,4.69170245658849
"GSM1369801",4.42267571387656,5.4278266920157,5.25648283858081,6.37942736203524,5.30058137202792,4.71672490020265,6.34058188797328,6.193112498011,4.42161992971328,4.75568759332224,6.17395519465656,7.0221359531604,6.44484122399021,5.89802210065639,6.42389868284614,6.52705544369558,5.23009789157259,7.27884716597892,6.55956049413226,6.37056023129226,5.14987430626231,11.1246350217727,6.07007636130473,5.02449324794352,6.20390141176793,4.61593885996763
"GSM1369800",4.38286700040833,5.59224519518405,5.17278841392461,6.25286333762827,5.33798822583643,4.75834814181978,6.19172863683148,5.9191621856299,4.47209118443559,4.90234559399351,6.08130123309245,7.01006003059903,6.34619604068349,6.02930189255915,6.26954147794217,6.39638515329537,5.22598283500418,7.41333311233779,6.94034707809785,6.42125076444049,5.04493421911605,11.2094812631833,6.19942933943471,5.19014740391507,5.98717145191719,4.71733905758696
"GSM1369799",4.35278421437456,5.53829861350046,5.24874553231954,6.4395573979181,5.24340261887382,4.79266145467303,6.34462649226278,6.10821250051449,4.37467297417311,4.84147551681619,6.07508072856452,7.05660755248258,6.3939496503393,6.32688494528503,6.39389968316594,6.37946950908022,5.04693543895835,7.5540340156247,6.77492803802564,6.26146763620537,5.30439522178747,11.0852911952971,5.98330496509556,5.06075445506858,6.14429317675717,4.70115879177445
"GSM1369798",4.3903676328169,5.71872374212488,5.230512453167,6.35442084698207,5.22772094656871,4.70547908579411,6.2210576605826,6.08658356660729,4.44535687985747,4.70063955000053,6.11518106912949,7.01377763279822,6.41225387240953,6.38792207739065,6.37276325135682,6.47220968644728,5.28927338863939,7.74421710996932,6.84712827090545,6.24158999434992,5.14776342878787,11.1944961620677,6.17193436876975,4.9901509583117,6.20235262620022,4.71363633419012
"GSM1369797",4.50778414511646,5.45389232362098,5.45591659541569,6.33168321309451,5.30803201034335,4.7691780149819,6.24005600199637,6.2997465194895,4.43596921110402,4.86190580348717,5.93390830300005,7.20174643585271,6.2959318136392,6.59882094410441,6.40565254420293,6.36317846795285,4.82181106384948,7.28111359007971,6.79089353824121,6.49641740975348,5.4698500275801,10.9113849903816,5.73363655587101,5.10740433646004,6.11726448139312,4.71989557460938
"GSM1369796",4.42592362305453,5.54817198823638,5.278925075272,6.32959868993499,5.29358063869408,4.73743253569958,6.24835604684591,6.12465119243438,4.44375930127756,4.80514463520084,6.07608644996961,7.06193001310255,6.37480573768058,6.22851675367762,6.36796398908698,6.43970718784774,5.14179129476636,7.42937774459139,6.78448234534415,6.38245459995901,5.20310549543656,11.1099993593512,6.04376915634502,5.07804898665755,6.12767249281958,4.69170245658849
"GSM1369795",4.33637536313065,5.50670945507333,5.14253112833989,6.23214706963633,5.4198422891629,4.57228455309885,6.44633612541932,6.23371880075199,4.54012144717921,4.7863018874407,6.05018049965167,7.20946556785554,6.31102379417101,6.41291358622221,6.15343219174285,6.19109099229218,5.31985407982307,7.2095781934899,6.86247820743693,6.38580170514288,5.2841107131833,11.0573643235156,6.19799279085641,5.05867860611732,6.28146977809441,3.79045531010016
"GSM1369794",4.37897771982257,5.43520577784322,5.13135809113701,6.33019031273568,5.30583945836879,4.66682163123855,6.20605873631653,6.34434713814712,4.53651416515465,4.76301919263687,6.10747495735773,7.07046266200106,6.47798834807664,6.62082132947875,6.15911923753824,6.1964557266162,5.43190355012518,7.35221162741459,6.85596910509574,6.1996367659324,5.28832475478722,11.0597647589304,6.17654572552607,5.06209704261468,6.01907957130228,3.81702996882186
"GSM1369793",4.23882871472767,5.5563170864253,5.21689467104392,6.41680437984756,5.45351103033911,4.71868076167152,6.47899790770281,6.34223848673086,4.64074617253647,4.93036167440015,6.08590642245944,7.05894381150777,6.55935101077956,6.68893867208949,6.25470063930443,6.37315669239348,5.39440001232761,7.34994212839371,7.04620776115023,6.43760309622146,5.32642115648717,11.1705927427116,6.3985694173713,5.20236642310687,6.13011067049791,3.81756619103045
"GSM1369792",4.39916724654393,5.50741383266566,5.18689204912909,6.18569714938717,5.3896135972062,4.60013448861858,6.30103823134886,6.29879048174597,4.40399890474455,4.83976865779026,6.23080897835256,7.42959722633732,6.31227780137073,6.4511966633412,6.23025461532606,6.20584102254907,5.19776470391403,7.0388742989999,6.7989286650469,6.27362594328281,5.29343958839429,11.0894612269494,6.23456879936792,5.01208992435104,6.08057288465037,3.80733825903792
"GSM1369791",4.36142504116492,5.50429612601896,5.22664069581519,6.25813441890777,5.38795774149945,4.69180604327967,6.45006609320025,6.24168294350271,4.60432429210466,4.74191659260435,6.08541948068533,7.33700165018624,6.4195645348484,6.47259814731858,6.2616585862644,6.33771652049507,5.19650511240001,7.19906831753047,6.85035316909298,6.38737821769791,5.24427769514013,11.0283572290122,6.0733579419875,5.03001802766389,6.02956026678857,3.87982041535941
"GSM1369790",4.29930388220233,5.46786161457435,5.11960153413348,6.36573859552271,5.3379973618713,4.51745397036657,6.41392706124894,6.21235744716358,4.43740184010279,4.68958699818592,6.12256655188233,7.30995737022178,6.46306002133943,6.30978789752781,6.19386922824371,6.31520883952708,4.85582798066949,7.182887627429,6.85130712744498,6.21476649643911,5.25703939496994,10.9490194067382,6.5296754762675,5.09093940948671,6.27508702953793,3.84160792257756
"GSM1369789",4.36313180919609,5.47804282482625,5.1610501773954,6.28857879016739,5.36687611617129,4.62828681071037,6.38341681040597,6.29305820082655,4.58017555210502,4.75100432034148,6.14839839496738,7.25059522569452,6.42394533633037,6.50815500120408,6.2678189579093,6.34421871801767,5.24276990722259,7.24973868555245,6.86661416877053,6.31781470559726,5.3291448773705,10.9979296669677,6.21204137900822,5.04546745824037,6.06327963045596,3.79167187190334
"GSM1369788",4.55056643013981,5.44543644311838,5.33970607000699,6.33866982775061,5.45860183449667,4.58688059717924,6.45554736164166,6.3426686610343,4.64924306532222,4.72216627725528,6.18410627362823,7.32788316491137,6.33934105076727,6.66327688203489,6.27163807377076,6.3726635651717,5.31870623106057,7.16738574697317,6.82116127137057,6.17827616172484,5.28314877431446,10.9561145684889,6.14063903863685,5.07801850056322,6.07115928807951,3.80463384843473
"GSM1369787",4.34262922510819,5.40091688616225,5.06008858678108,6.39979967878337,5.35508415939876,4.61728516685307,6.47303363600789,6.38246686522274,4.64703734481488,4.76965343090323,6.04365271201782,7.13275723672401,6.4714410046288,6.71558222743103,6.43263429900505,6.34939037284781,5.1342346744987,7.43013647295428,7.10962223697094,6.23410658579661,5.39376475737144,11.1150161328235,6.14772097909514,5.01615790176696,5.95787847977764,3.68871032837873
"GSM1369786",4.36161871974051,5.4915814513821,5.11383999540271,6.40578606313554,5.37991092230633,4.64222392879232,6.30698636443749,6.37365593911149,4.54314094022233,4.73489363176637,6.12143893920638,7.3439374683895,6.52466482985328,6.40671437721587,6.30540860789064,6.36335481546257,5.15644388975804,7.08909463755301,6.77568841428746,6.37753868544438,5.4058705612632,11.0421661767762,6.14547788002935,5.04457360956119,6.06963465606711,3.84969397693542
"GSM1369785",4.47743753080786,5.52426176887965,5.30482946574849,6.26825255224438,5.34304514039457,4.63481099509681,6.22600581125611,6.34050160235674,4.73334297111901,4.85645512330599,6.26013568697781,7.50189076990327,6.53753020293605,6.6388912732002,6.31875567977532,6.27735672882917,5.25779452419362,7.01982783251132,6.84431974090485,6.37264427427926,5.30890781508716,11.0677158112647,6.32226110778678,5.08065916298001,6.15621563673432,3.78850283546834
"GSM1369784",4.36313180919598,5.47804282482614,5.16105017739529,6.28857879016727,5.36687611617118,4.62828681071028,6.38341681040584,6.2930582008264,4.58017555210491,4.75100432034137,6.14839839496725,7.25059522569437,6.42394533633025,6.50815500120392,6.26781895790918,6.34421871801755,5.24276990722242,7.24973868555226,6.86661416877038,6.31781470559712,5.3291448773704,10.9979296669675,6.21204137900807,5.04546745824026,6.06327963045583,3.79167187190329
"GSM1369783",4.3631318091958,5.47804282482596,5.16105017739511,6.28857879016708,5.366876116171,4.6282868107101,6.38341681040562,6.29305820082617,4.58017555210476,4.75100432034118,6.14839839496705,7.25059522569413,6.42394533633006,6.50815500120368,6.26781895790898,6.34421871801736,5.24276990722218,7.24973868555196,6.86661416877016,6.31781470559692,5.32914487737023,10.9979296669672,6.21204137900785,5.04546745824008,6.06327963045562,3.79167187190315
"GSM1369782",4.26229932864303,5.49413222984179,5.02931085452617,6.31529390426341,5.4517535250503,4.60380866220268,6.30800824373551,6.33682258759621,4.57249597026518,4.73622956911359,6.11674943838299,7.19110572954828,6.39857801367256,6.27938771417711,6.18090938241623,6.42957550279878,5.45284984406707,7.39597741699198,6.95014386295513,6.39995279696531,5.39937405354012,10.9875966405256,6.11340861994641,5.06997360068358,6.06484934301948,3.70384749277517
"GSM1369781",4.36483857722708,5.45178952363337,5.09545965897544,6.31902316142682,5.34579449084295,4.56476757814091,6.31676752761149,6.34443345815017,4.55602681210522,4.76009204807844,6.21137730924922,7.16418880120258,6.42832613781215,6.54371185508932,6.27397932955401,6.35072091554008,5.28903470204492,7.30040905357412,6.88287516844786,6.24825119349638,5.41401205960072,10.9675021049229,6.35072481602871,5.06091688881669,6.09699899412315,3.70352332844716
"GSM1369780",4.34779070715001,5.37336771645198,5.10870739645299,6.34170561919514,5.26221515905264,4.48473285407692,6.26017306611579,6.29976026264257,4.53945722714286,4.62085158277555,6.2593994314202,7.11885384541535,6.4379626472199,6.31483191506174,6.35155648172506,6.30454216609042,5.35142129293382,7.28751555878481,6.78984085980895,6.2946356643686,5.24589033614628,10.9333906881079,6.14840157744307,4.92437432532874,6.05148139680819,3.75980144502252
"GSM1369779",4.31032003513804,5.49497490545837,5.18713571146936,6.22031241146679,5.50775407759752,4.68376735273381,6.12140349641474,6.34978038320453,4.50492946816194,4.72929068232708,6.1277974190405,7.2715960888163,6.49197289026996,6.29311932130982,6.09006337258424,6.31737793112843,5.26247636632183,7.42124695149548,6.9277626378333,6.1936224632697,5.34111362020485,10.9433758425798,6.28914373452272,5.03564106524291,5.98442773160957,3.7643467111611
"GSM1369778",4.37360253136599,5.40565035903615,5.13192589934383,6.40795796832299,5.34994261891357,4.64792205783772,6.47740945996445,6.14533903300131,4.52561626877997,4.63416829240012,6.12677299313233,7.26706290958108,6.43878304977586,6.75395610558542,6.45982788256378,6.39860459683344,5.12714747213666,7.45069607383524,6.79284214987741,6.18570753433919,5.30385547355985,11.0537956524481,6.24843766751895,5.02932271097043,6.05717708559643,3.87785093275535
"GSM1369777",4.33918784596722,5.48812694154717,5.17813448996288,6.16281073583852,5.32276318032647,4.62660552770406,6.5222437266675,6.34956958035162,4.48924699825566,4.77716429654598,6.08993546137609,7.04232149374512,6.32089007893675,6.36038491185323,6.11178288688162,6.27133804360904,5.13328778849266,7.13245341887082,6.87915092134441,6.31295421680494,5.30444216729466,10.882610563632,6.16405812078041,5.00191435832722,5.97487645647332,3.79648622661441
"GSM1369776",4.36346427037389,5.3479716520485,5.07050531467021,6.24132353966957,5.32394304756265,4.60707078969868,6.16082369806552,6.35496773385,4.46867943746976,4.8386908186325,6.03081919868806,7.19100783053524,6.35384399913085,6.59259772618661,6.24099769040708,6.29385571295813,5.40429270601951,7.3535999054579,6.77482333079123,6.18006676114028,5.35480625259005,10.9270548213779,6.00681124951965,5.02070189419869,5.95827746883414,3.7913203179909
"GSM1369775",4.36342361374335,5.54415653433113,5.14508052898995,6.35082852382691,5.28823006838054,4.6939148633121,6.4679324150817,6.20642605937051,4.59897378179771,4.75959905477631,6.17525249234033,7.28996052753996,6.44125255915203,6.90134373270349,6.52739462829812,6.44239089219383,5.20297902581452,7.30790141369052,7.05571469629963,6.36927658003227,5.44105612772926,11.0515404813963,6.13212300298832,5.01449918627687,5.83220172128817,3.84797427311776
