,substanceBXH,geneSymbol,LocusLinkID,moduleColor,GS.Factor,p.GS.Factor,MM.grey,p.MM.grey,MM.blue,p.MM.blue,MM.brown,p.MM.brown,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.salmon,p.MM.salmon,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.green,p.MM.green,MM.turquoise,p.MM.turquoise
SETD2,SETD2,SETD2,29072,grey,0.336078969,0.002304849,0.31117692,0.004960904,0.282761587,0.011041454,0.264535264,0.017728232,-0.282495301,0.011120532,-0.349648823,0.001477239,0.264083333,0.017930774,0.138354289,0.220990599,-0.11537927,0.308131686,-0.416058589,0.000123873,0.156831021,0.164748871,-0.170021689,0.131608893
PGGT1B,PGGT1B,PGGT1B,5229,grey,0.336028371,0.002308591,0.305456878,0.005864336,0.295577055,0.007770772,0.282906282,0.010998691,-0.214839854,0.055651539,-0.333514098,0.002501542,0.286767545,0.009909596,0.043072964,0.704413807,-0.035305573,0.755869318,-0.214815942,0.055679429,0.046197637,0.684067935,-0.208119521,0.063950989
NXN,NXN,NXN,64359,grey,0.33585558,0.00232141,0.258754918,0.0204727,0.149957018,0.184287782,0.329712812,0.002820792,-0.313441228,0.004638868,-0.170819695,0.129779955,0.12504535,0.269080942,-0.01036212,0.927313509,-0.398268303,0.000253445,-0.01266878,0.911192835,0.351633051,0.001381918,-0.061573406,0.587421167
RBPJ,RBPJ,RBPJ,3516,grey,0.335855016,0.002321452,0.412147283,0.000145488,0.333065283,0.002537468,0.350492037,0.001436029,-0.447385831,3.17346E-05,-0.208745331,0.063138096,0.237894088,0.033594178,0.333729745,0.002484443,-0.316176661,0.004274678,-0.159590173,0.157352169,-0.065393881,0.564403911,0.188898152,0.093325673
H4C8,H4C8,H4C8,8365,grey,0.335781761,0.002326906,0.287541001,0.009703138,0.221547305,0.04826708,0.357593565,0.001128078,-0.28664548,0.009942526,-0.221916346,0.047885428,0.323365992,0.00343578,0.072163166,0.524699031,-0.405372959,0.000191338,0.119334387,0.291730186,0.390028396,0.000348412,-0.175976949,0.118423335
KRT35,KRT35,KRT35,3886,grey,0.335741814,0.002329886,0.226140615,0.04369132,0.275567284,0.013358677,0.419471253,0.000107479,-0.05633522,0.619653346,-0.384521709,0.000429014,0.088331088,0.435892746,0.084437999,0.4564643,-0.024119109,0.831823456,-0.217704709,0.052391838,-0.113369795,0.316689569,-0.328575184,0.002923183
SLC5A4,SLC5A4,SLC5A4,6527,grey,-0.335713159,0.002332025,-0.380857635,0.000491746,-0.359237808,0.001065921,-0.345650556,0.001687567,0.374028868,0.000631506,0.312282607,0.004801254,-0.19917404,0.07652385,-0.281632282,0.01138022,0.278328681,0.012423686,0.292482984,0.008470573,-0.210501223,0.060901918,0.12260419,0.278613217
KLHL22,KLHL22,KLHL22,84861,grey,0.335707393,0.002332455,0.269784194,0.015516138,0.240084154,0.031947932,0.530789939,4.08987E-07,-0.162003907,0.151086345,-0.191629117,0.088600375,0.20318663,0.070659313,0.337134665,0.002228009,-0.423371016,9.12139E-05,-0.193888196,0.08483622,0.155644252,0.168008132,0.027536886,0.808418323
MTAP,MTAP,MTAP,4507,grey,0.335627722,0.002338413,0.385537542,0.000412969,0.399729102,0.000239334,0.377201272,0.000562603,-0.358347995,0.001099162,-0.56146047,6.02743E-08,0.288574673,0.009433097,-0.023970071,0.832847574,-0.05090832,0.653819449,-0.117567635,0.298984245,0.225354463,0.044447947,-0.458971236,1.8523E-05
MOB4,MOB4,MOB4,25843,grey,0.335625898,0.00233855,0.304541371,0.006021697,0.332631739,0.002572611,0.361267982,0.000993468,-0.272798585,0.014356765,-0.410118384,0.000158025,0.287699145,0.009661391,0.05537458,0.625645578,-0.063081089,0.578287007,-0.220314235,0.049560498,-0.036845972,0.745571778,-0.347024263,0.001612439
