,substanceBXH,geneSymbol,LocusLinkID,moduleColor,GS.Factor,p.GS.Factor,MM.grey,p.MM.grey,MM.blue,p.MM.blue,MM.brown,p.MM.brown,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.salmon,p.MM.salmon,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.green,p.MM.green,MM.turquoise,p.MM.turquoise
SLC6A12,SLC6A12,SLC6A12,6539,black,0.738077676,5.66759E-15,0.700717213,4.62741E-13,0.607370762,2.323E-09,0.718913746,5.92297E-14,-0.659791737,2.80834E-11,-0.52661403,5.23214E-07,0.641207228,1.48019E-10,0.424327469,8.75891E-05,-0.527783209,4.88511E-07,-0.44233861,3.98823E-05,0.28668088,0.009932966,-0.08101026,0.475011183
LTBP1,LTBP1,LTBP1,4052,black,-0.727342085,2.1623E-14,-0.690520277,1.3709E-12,-0.696071331,7.63243E-13,-0.677742196,5.02896E-12,0.563071335,5.42138E-08,0.549777728,1.27855E-07,-0.458210348,1.92012E-05,-0.685065794,2.4069E-12,0.43361279,5.871E-05,0.8605087,1.48196E-24,-0.242711097,0.030063258,0.08134246,0.473196149
CLDN5,CLDN5,CLDN5,7122,black,-0.715254065,9.07097E-14,-0.706739294,2.3844E-13,-0.704732694,2.9794E-13,-0.619763785,8.80359E-10,0.632493426,3.10592E-10,0.621490423,7.66445E-10,-0.453346404,2.41152E-05,-0.509405356,1.39548E-06,0.288663912,0.009410095,0.762500453,2.08124E-16,-0.120353807,0.287597798,0.178680536,0.11278352
MMRN1,MMRN1,MMRN1,22915,black,-0.69634849,7.40991E-13,-0.68480848,2.47093E-12,-0.691310985,1.26218E-12,-0.641313764,1.46662E-10,0.595805689,5.53686E-09,0.507426269,1.55683E-06,-0.39171629,0.000326643,-0.760015833,2.96524E-16,0.400193306,0.000235004,0.804740253,2.39888E-19,-0.114752618,0.310784196,-0.021544827,0.849550546
ITGA2B,ITGA2B,ITGA2B,3674,black,-0.686582795,2.06065E-12,-0.659487706,2.88846E-11,-0.707212322,2.2618E-13,-0.646431361,9.38403E-11,0.521996655,6.84388E-07,0.675807849,6.08808E-12,-0.429772505,6.93714E-05,-0.539098961,2.48051E-07,0.227527209,0.042382805,0.834767793,6.54577E-22,-0.183133776,0.10394923,0.3371383,0.002227748
PCSK6,PCSK6,PCSK6,5046,black,-0.683036959,2.95829E-12,-0.644630374,1.09914E-10,-0.649006482,7.47167E-11,-0.474899541,8.55225E-06,0.543812918,1.85659E-07,0.530599447,4.13638E-07,-0.311992836,0.004842647,-0.463545336,1.48948E-05,0.220591724,0.049266969,0.59140672,7.63592E-09,-0.246924801,0.027236159,0.197503241,0.079077771
DNAJC6,DNAJC6,DNAJC6,9829,black,-0.667598918,1.34859E-11,-0.611857996,1.64277E-09,-0.64592927,9.80793E-11,-0.436375711,5.20036E-05,0.480439927,6.4767E-06,0.496666351,2.78888E-06,-0.43227699,6.22326E-05,-0.496740834,2.77784E-06,0.195876445,0.0816293,0.549140871,1.33096E-07,-0.187950282,0.095011325,0.162979194,0.148608174
SELP,SELP,SELP,6403,black,-0.649648309,7.05672E-11,-0.586588611,1.0799E-08,-0.61802247,1.01153E-09,-0.543336064,1.91219E-07,0.46022107,1.74572E-05,0.530916035,4.05936E-07,-0.309997241,0.005136411,-0.539535241,2.41533E-07,0.219688892,0.050227261,0.878391422,1.00111E-26,-0.162394177,0.150091001,0.182352855,0.105458147
MPL,MPL,MPL,4352,black,-0.645313632,1.03528E-10,-0.654813247,4.43348E-11,-0.675490552,6.2811E-12,-0.621968476,7.37487E-10,0.556626666,8.25617E-08,0.583968747,1.30079E-08,-0.394746726,0.000290665,-0.618703439,9.58152E-10,0.291918563,0.008604024,0.833328055,8.91933E-22,-0.081292077,0.473471182,0.122123209,0.280517602
FHL1,FHL1,FHL1,2273,black,-0.626747004,5.00021E-10,-0.606855127,2.41652E-09,-0.661574542,2.37975E-11,-0.592673578,6.96423E-09,0.466348292,1.30121E-05,0.621411501,7.71329E-10,-0.534191975,3.33807E-07,-0.550276539,1.23888E-07,0.208323437,0.063685187,0.866963009,2.65424E-25,-0.089724727,0.428658059,0.263224904,0.018320974
EHD3,EHD3,EHD3,30845,black,-0.602908958,3.26108E-09,-0.523855832,6.14542E-07,-0.542021693,2.07374E-07,-0.604021315,2.99811E-09,0.382748433,0.000458397,0.497089724,2.72665E-06,-0.413584701,0.000137169,-0.496448545,2.82141E-06,0.313202008,0.004671991,0.861792,1.0601E-24,-0.078162489,0.49072317,0.181125496,0.107864057
RNF11,RNF11,RNF11,NA,black,-0.597439684,4.90765E-09,-0.513579282,1.10541E-06,-0.516222123,9.52245E-07,-0.684528055,2.54257E-12,0.405754249,0.00018844,0.522055959,6.82048E-07,-0.468273158,1.18507E-05,-0.472261265,9.74622E-06,0.418998303,0.000109624,0.865837024,3.60595E-25,-0.173367087,0.124070978,0.223100691,0.046677376
SAV1,SAV1,SAV1,60485,black,-0.596504053,5.25906E-09,-0.566692152,4.26348E-08,-0.561784736,5.90048E-08,-0.569828741,3.45428E-08,0.488573182,4.26852E-06,0.561778168,5.90303E-08,-0.356610254,0.001166801,-0.394515708,0.000293274,0.29970759,0.006915965,0.683357797,2.86366E-12,-0.109568646,0.333291776,0.211968858,0.059082592
MUC7,MUC7,MUC7,4589,black,-0.594942451,5.89961E-09,-0.563188495,5.37964E-08,-0.591764957,7.43997E-09,-0.457349386,1.99966E-05,0.428228295,7.4144E-05,0.410077566,0.000158287,-0.24426838,0.028990892,-0.554067686,9.73295E-08,0.251705705,0.024304169,0.489256858,4.11949E-06,-0.070768396,0.532763815,0.017662596,0.876423363
GP1BA,GP1BA,GP1BA,2811,black,-0.584558231,1.24762E-08,-0.528459659,4.69439E-07,-0.581048151,1.5976E-08,-0.429738385,6.94737E-05,0.421555532,9.84793E-05,0.528039465,4.81201E-07,-0.341019471,0.001964673,-0.470179334,1.07968E-05,0.099250141,0.381076654,0.875413886,2.42522E-26,-0.062967359,0.578973737,0.217862339,0.052217126
ITGB3,ITGB3,ITGB3,3690,black,-0.578729061,1.87813E-08,-0.497385672,2.68393E-06,-0.528274796,4.7458E-07,-0.56057878,6.38585E-08,0.347145425,0.001605959,0.411671933,0.00014834,-0.278044862,0.01251709,-0.608342814,2.15601E-09,0.348141817,0.001553561,0.889900089,2.59747E-28,-0.205637215,0.067259224,0.082291981,0.468028955
KRBOX4,KRBOX4,KRBOX4,55634,black,0.578394964,1.92221E-08,0.613941591,1.39606E-09,0.60491671,2.80126E-09,0.518232871,8.49374E-07,-0.520423984,7.49259E-07,-0.462237869,1.58575E-05,0.546895025,1.53251E-07,0.532225706,3.7549E-07,-0.314144916,0.00454264,-0.427100758,7.78192E-05,0.218914318,0.051063343,0.017021513,0.88087526
SLC22A4,SLC22A4,SLC22A4,6583,black,0.573511847,2.6903E-08,0.519722128,7.80046E-07,0.520005651,7.67468E-07,0.544138736,1.81948E-07,-0.363265151,0.000926584,-0.478788844,7.03965E-06,0.306061398,0.005762432,0.456176529,2.11296E-05,-0.284568694,0.010517633,-0.597109779,5.02892E-09,0.155918643,0.167250377,-0.183183186,0.103854328
RRAGB,RRAGB,RRAGB,10325,black,-0.572525834,2.87735E-08,-0.498259255,2.56147E-06,-0.436592387,5.1509E-05,-0.430243518,6.79734E-05,0.365083011,0.000869289,0.365120981,0.000868127,-0.301117931,0.006643685,-0.296564533,0.007558386,0.26071461,0.019504124,0.400192434,0.000235012,-0.219151485,0.050806138,0.118127885,0.296671263
PROS1,PROS1,PROS1,5627,black,-0.570996828,3.19207E-08,-0.568194539,3.85567E-08,-0.610127834,1.87877E-09,-0.548888368,1.3523E-07,0.471739267,1.00002E-05,0.582035886,1.49066E-08,-0.347652921,0.001579075,-0.500749487,2.2406E-06,0.181993535,0.106158135,0.799471222,6.08453E-19,-0.063453529,0.576040743,0.218411012,0.051612717
PPBP,PPBP,PPBP,5473,black,-0.56666631,4.27085E-08,-0.53663404,2.8812E-07,-0.566632168,4.28059E-08,-0.538653647,2.54875E-07,0.437810488,4.88087E-05,0.460170555,1.74992E-05,-0.421138392,0.000100223,-0.598172718,4.64809E-09,0.305343091,0.005883694,0.873304016,4.47853E-26,-0.218992836,0.050978073,0.089837034,0.428078045
SPARC,SPARC,SPARC,6678,black,-0.565384342,4.65155E-08,-0.486447929,4.76476E-06,-0.52476072,5.83038E-07,-0.615796889,1.20653E-09,0.333781297,0.002480371,0.550220607,1.24327E-07,-0.406256504,0.000184683,-0.439633551,4.50123E-05,0.267075112,0.016626139,0.919414017,2.38617E-33,-0.125950115,0.265604437,0.294146816,0.008087679
TPM1,TPM1,TPM1,7168,black,-0.564961321,4.7841E-08,-0.564627864,4.8911E-08,-0.603508334,3.11677E-09,-0.582120929,1.48178E-08,0.428620663,7.29033E-05,0.525685574,5.52419E-07,-0.276253289,0.013120883,-0.570540291,3.29222E-08,0.284065099,0.010661384,0.785410782,6.40604E-18,-0.25347148,0.023291332,0.168795246,0.13445786
CABP5,CABP5,CABP5,56344,black,-0.562528498,5.61883E-08,-0.590294957,8.27585E-09,-0.668406922,1.24843E-11,-0.351350297,0.001395153,0.480654685,6.40666E-06,0.58070018,1.63699E-08,-0.379209147,0.000522615,-0.460404407,1.73058E-05,-0.036709149,0.746484666,0.752115743,8.88789E-16,-0.086092702,0.447655954,0.250566716,0.024977154
RPP21,RPP21,RPP21,79897,black,0.560760493,6.31037E-08,0.538568788,2.56196E-07,0.583007587,1.39213E-08,0.574753073,2.47124E-08,-0.371246618,0.000698179,-0.420532546,0.000102805,0.253307525,0.023383837,0.67842258,4.70039E-12,-0.352024404,0.001363788,-0.575919742,2.28089E-08,-0.004789262,0.966369151,0.031353116,0.782482705
SNRPB2,SNRPB2,SNRPB2,6629,black,0.554441316,9.50271E-08,0.537301354,2.76706E-07,0.556880165,8.12206E-08,0.39850015,0.000251156,-0.456959085,2.03672E-05,-0.464560661,1.41852E-05,0.383081806,0.000452736,0.378352608,0.000539345,-0.114695691,0.311025888,-0.577997489,1.97595E-08,0.205132933,0.067947887,-0.150719688,0.182040517
LIMS3,LIMS3,LIMS3,96626,black,-0.543944641,1.8415E-07,-0.487387311,4.53908E-06,-0.528399259,4.71113E-07,-0.519089045,8.08838E-07,0.362153985,0.000963273,0.530847066,4.07602E-07,-0.299579993,0.006941077,-0.371951322,0.000680711,0.180509578,0.109087347,0.833124748,9.31545E-22,-0.148049754,0.189995691,0.247985193,0.026561246
GRAP2,GRAP2,GRAP2,9402,black,-0.539984123,2.34996E-07,-0.44129657,4.17904E-05,-0.454623403,2.27224E-05,-0.435973533,5.29334E-05,0.332995438,0.002543101,0.439564368,4.51512E-05,-0.243021113,0.029847152,-0.335474314,0.002349923,0.163732549,0.146714856,0.889838794,2.65129E-28,-0.124984222,0.26931692,0.203223705,0.070606863
RUFY1,RUFY1,RUFY1,80230,black,-0.535594653,3.0679E-07,-0.443153042,3.84478E-05,-0.460121661,1.75399E-05,-0.390476555,0.000342506,0.346869817,0.001620732,0.292595163,0.008444266,-0.251614287,0.02435761,-0.503189168,1.96324E-06,0.251228923,0.024583982,0.808749934,1.159E-19,-0.290004882,0.009070311,-0.036502838,0.747861836
LAIR1,LAIR1,LAIR1,3903,black,-0.53087748,4.06866E-07,-0.502502142,2.03788E-06,-0.486594324,4.72891E-06,-0.493843684,3.23918E-06,0.360610149,0.00101644,0.509183812,1.41272E-06,-0.173176983,0.124490271,-0.268902257,0.01587026,0.194290006,0.084180196,0.541400143,2.15456E-07,-0.260369618,0.019671732,0.267660765,0.016380551
CTNNAL1,CTNNAL1,CTNNAL1,8727,black,-0.529732635,4.35441E-07,-0.431341246,6.4816E-05,-0.404847441,0.000195401,-0.435340644,5.44279E-05,0.288806198,0.009373521,0.283332181,0.010873655,-0.242505698,0.030207163,-0.404105676,0.00020127,0.337379695,0.002210507,0.442899221,3.88896E-05,-0.049995049,0.659642273,0.017439514,0.877972093
PBX1,PBX1,PBX1,5087,black,-0.528260767,4.74972E-07,-0.540949,2.21508E-07,-0.614859506,1.29899E-09,-0.408914855,0.000165925,0.441395069,4.16065E-05,0.540207955,2.31799E-07,-0.392017077,0.000322898,-0.52209073,6.8068E-07,0.067905595,0.549507346,0.715679344,8.63556E-14,0.048028004,0.672252265,0.220518317,0.049344481
PDE5A,PDE5A,PDE5A,8654,black,-0.524940214,5.76972E-07,-0.486090191,4.85344E-06,-0.527219922,5.04949E-07,-0.46484382,1.3993E-05,0.363978805,0.000903694,0.283798491,0.010738178,-0.313002657,0.004699753,-0.66986379,1.0856E-11,0.343590155,0.001806178,0.64742372,8.59727E-11,-0.161969612,0.151174047,-0.095563091,0.399104275
VPS11,VPS11,VPS11,55823,black,0.524604528,5.88364E-07,0.416661302,0.000120819,0.399066336,0.000245645,0.455367246,2.19461E-05,-0.317029921,0.0041664,-0.240802457,0.031422985,0.28243531,0.011138416,0.470603893,1.05743E-05,-0.376627633,0.000574529,-0.575948013,2.27646E-08,0.30323171,0.00625329,0.077357949,0.495211147
MPIG6B,MPIG6B,MPIG6B,80739,black,-0.522951292,6.47637E-07,-0.456640484,2.06744E-05,-0.529911629,4.30852E-07,-0.501058409,2.20354E-06,0.283957157,0.010692418,0.521376197,7.0932E-07,-0.254075855,0.022953023,-0.497044798,2.73319E-06,0.116217679,0.30460588,0.891801303,1.36663E-28,-0.04332201,0.702784317,0.254441704,0.022750273
FAM149B1,FAM149B1,FAM149B1,317662,black,0.522385107,6.69202E-07,0.552275694,1.09128E-07,0.507355815,1.56288E-06,0.303873796,0.006138783,-0.560841851,6.27685E-08,-0.460212715,1.74642E-05,0.481504999,6.13626E-06,0.247175241,0.027075465,-0.078873596,0.48677431,-0.35702436,0.001150349,0.048061993,0.672033594,-0.135936882,0.229243094
BDNF,BDNF,BDNF,627,black,-0.520308221,7.54256E-07,-0.564407501,4.96306E-08,-0.548723587,1.3664E-07,-0.320789351,0.003717831,0.528560029,4.66669E-07,0.406639415,0.000181866,-0.371644111,0.000688276,-0.433024203,6.02387E-05,0.157654093,0.162516022,0.203962245,0.069568544,-0.005543257,0.96107833,0.080202969,0.479437547
AKTIP,AKTIP,AKTIP,64400,black,0.515132999,1.01277E-06,0.444875498,3.55706E-05,0.406047468,0.000186238,0.440777902,4.27715E-05,-0.327972039,0.002978807,-0.375738636,0.000593469,0.423354359,9.12783E-05,0.285980895,0.0101235,-0.249894104,0.025381955,-0.578997998,1.84334E-08,0.303419257,0.00621965,-0.118748815,0.294121509
CD84,CD84,CD84,8832,black,-0.509423691,1.39406E-06,-0.373464689,0.000644537,-0.391908904,0.00032424,-0.466307233,1.3038E-05,0.153053037,0.175289009,0.50828562,1.48472E-06,-0.109534624,0.333442813,-0.157603495,0.162652635,0.131870441,0.243605516,0.550803864,1.19821E-07,-0.24726627,0.027017256,0.450295003,2.77723E-05
JAM3,JAM3,JAM3,83700,black,-0.508279914,1.48519E-06,-0.494556067,3.11949E-06,-0.506205871,1.66492E-06,-0.496002382,2.88917E-06,0.417532562,0.000116527,0.382349032,0.000465264,-0.413204177,0.000139328,-0.563550109,5.25272E-08,0.340828894,0.001976907,0.605063931,2.7701E-09,-0.270421455,0.015264522,0.028993412,0.798493546
LGALSL,LGALSL,LGALSL,29094,black,-0.503404958,1.94033E-06,-0.480607431,6.42201E-06,-0.53800449,2.65143E-07,-0.350745668,0.001423838,0.373368364,0.000646786,0.392020944,0.00032285,-0.367695586,0.000792577,-0.582027908,1.49149E-08,0.098329458,0.385531705,0.783462701,8.75393E-18,0.074541027,0.511092688,0.016428818,0.884994429
SSX2IP,SSX2IP,SSX2IP,117178,black,-0.49274577,3.43214E-06,-0.409179875,0.000164155,-0.435550182,5.39288E-05,-0.467337877,1.24023E-05,0.238654337,0.033014826,0.436600225,5.14912E-05,-0.305752911,0.005814236,-0.367912344,0.000786498,0.228894804,0.041124225,0.798500583,7.20083E-19,-0.087353203,0.44101011,0.234588325,0.036213443
TUBB1,TUBB1,TUBB1,81027,black,-0.49254922,3.4678E-06,-0.401520973,0.000223013,-0.442808373,3.90489E-05,-0.455546749,2.17625E-05,0.285221343,0.010333851,0.417882342,0.000114845,-0.357197108,0.001143548,-0.351057883,0.00140896,0.203150238,0.070710829,0.879863043,6.40954E-27,-0.159035368,0.158819298,0.235197976,0.035717954
MAGOH,MAGOH,MAGOH,NA,black,0.488525532,4.27909E-06,0.420351769,0.000103588,0.490414779,3.87819E-06,0.248162042,0.026450075,-0.315198341,0.0044019,-0.451016992,2.68631E-05,0.376908449,0.000568662,0.211866541,0.059207976,-0.016486987,0.884590024,-0.410338142,0.000156621,0.276438538,0.013057301,-0.368526863,0.000769493
SRC,SRC,SRC,6714,black,-0.488515909,4.28123E-06,-0.473478872,9.177E-06,-0.547363515,1.48821E-07,-0.416971092,0.000119276,0.282663223,0.011070608,0.648868154,7.56411E-11,-0.089790959,0.428315946,-0.226095227,0.043734711,-0.085482457,0.450893343,0.584723809,1.23306E-08,-0.139179791,0.218220952,0.522375459,6.69575E-07
TRIM58,TRIM58,TRIM58,25893,black,-0.482656909,5.787E-06,-0.420994558,0.00010083,-0.481530205,6.12841E-06,-0.478896809,7.00148E-06,0.259562386,0.020068738,0.511152766,1.26625E-06,-0.232674872,0.037806046,-0.366450963,0.000828319,0.108090164,0.339895414,0.896794827,2.38587E-29,-0.054128417,0.633455061,0.316947227,0.004176786
EGLN3,EGLN3,EGLN3,112399,black,-0.475668051,8.23113E-06,-0.399270877,0.000243681,-0.415510223,0.000126713,-0.348380901,0.00154122,0.311510461,0.004912255,0.425946566,8.17556E-05,-0.081300978,0.473422587,-0.258094901,0.02080804,0.084526359,0.455991537,0.543605094,1.88063E-07,0.002251923,0.984183108,0.237640077,0.033789639
SNURF,SNURF,SNURF,8926,black,0.467760156,1.21503E-05,0.506729046,1.61774E-06,0.493271124,3.3385E-06,0.344550677,0.001749979,-0.467008487,1.26022E-05,-0.286488726,0.009984955,0.172794405,0.125337371,0.426206569,8.0853E-05,-0.288500377,0.009452285,0.038850473,0.732238432,0.136024684,0.228939642,0.006067906,0.957397824
MYL9,MYL9,MYL9,10398,black,-0.467636166,1.22238E-05,-0.470891462,1.0426E-05,-0.532260212,3.74718E-07,-0.496250011,2.85138E-06,0.335327574,0.002360981,0.64007082,1.63258E-10,-0.344841808,0.00173326,-0.312098654,0.004827494,0.026806221,0.8134086,0.771312649,5.72275E-17,-0.026711343,0.81405714,0.439356088,4.55718E-05
GP5,GP5,GP5,2814,black,-0.463937504,1.46169E-05,-0.482699898,5.77434E-06,-0.541914812,2.08743E-07,-0.446230683,3.34492E-05,0.373485728,0.000644046,0.455127448,2.21936E-05,-0.246025197,0.027820059,-0.570097037,3.3923E-08,0.105498393,0.351668487,0.707225946,2.25836E-13,0.006475014,0.954542499,0.08467541,0.455194667
CALM1,CALM1,CALM1,801,black,-0.462703706,1.55081E-05,-0.339021213,0.002096406,-0.365066213,0.000869803,-0.617173045,1.08211E-09,0.142919348,0.205980859,0.478773203,7.0452E-06,-0.161029714,0.153592433,-0.273987502,0.013920536,0.282436478,0.011138067,0.678989564,4.44243E-12,-0.094240504,0.40569164,0.334519324,0.002422728
RHOBTB1,RHOBTB1,RHOBTB1,9886,black,-0.461515998,1.64137E-05,-0.366308299,0.000832508,-0.388912367,0.000363528,-0.39112909,0.000334071,0.25470243,0.022606715,0.369440923,0.000744818,-0.16399158,0.146068062,-0.358002664,0.001112313,0.182328456,0.105505565,0.828340487,2.54751E-21,-0.136772337,0.226367061,0.155400947,0.16868215
GNG11,GNG11,GNG11,2791,black,-0.458800447,1.86732E-05,-0.379781282,0.000511706,-0.412210463,0.000145113,-0.44426071,3.65737E-05,0.274115863,0.013874132,0.374317955,0.000624922,-0.270279614,0.01532022,-0.429671188,6.96756E-05,0.205449117,0.067515435,0.931025079,6.90868E-36,-0.080432939,0.478174382,0.107944523,0.340550338
PF4,PF4,PF4,5196,black,-0.457912828,1.94726E-05,-0.416346721,0.000122404,-0.472834746,9.47412E-06,-0.412021311,0.000146239,0.322453684,0.003533383,0.466372632,1.29967E-05,-0.296404847,0.007592382,-0.415146795,0.000128628,0.127380742,0.260169479,0.906396456,6.37861E-31,-0.223031811,0.04674694,0.201060428,0.073720111
PYGB,PYGB,PYGB,5834,black,-0.457273134,2.00685E-05,-0.491981899,3.5727E-06,-0.56914376,3.61743E-08,-0.431088821,6.55298E-05,0.375247505,0.000604175,0.643615892,1.20096E-10,-0.203770275,0.069837246,-0.269937955,0.015455101,0.02948563,0.795146686,0.508738044,1.44803E-06,-0.201504131,0.073072749,0.493782795,3.24961E-06
CDC14B,CDC14B,CDC14B,8555,black,-0.457230231,2.0109E-05,-0.528828702,4.59333E-07,-0.613755414,1.41658E-09,-0.382692142,0.000459359,0.464827164,1.40043E-05,0.572063901,2.96918E-08,-0.314006303,0.004561454,-0.476793527,7.78119E-06,0.047916024,0.672972897,0.596974889,5.07932E-09,-0.137291533,0.224592512,0.301049003,0.006656769
NAP1L1,NAP1L1,NAP1L1,4673,black,-0.449267054,2.91165E-05,-0.34196103,0.001905224,-0.339395184,0.002071165,-0.558577543,7.27596E-08,0.227639295,0.042278465,0.429188433,7.1142E-05,-0.396510318,0.00027144,-0.243905959,0.029237533,0.334110016,0.002454546,0.542904501,1.96387E-07,-0.260781932,0.01947156,0.275543249,0.013367076
PRKAR2B,PRKAR2B,PRKAR2B,5577,black,-0.44409028,3.68564E-05,-0.371032864,0.000703558,-0.435571402,5.38785E-05,-0.448729982,2.98426E-05,0.2165616,0.053673211,0.396912602,0.000267221,-0.21841962,0.05160328,-0.487398704,4.53641E-06,0.167122898,0.13841767,0.943095844,4.79913E-39,-0.130354085,0.249116562,0.172157675,0.126756964
YPEL5,YPEL5,YPEL5,51646,black,-0.442538608,3.95255E-05,-0.359994619,0.00103837,-0.341164209,0.001955427,-0.462386861,1.5745E-05,0.338258543,0.002148743,0.263682425,0.01811211,-0.352761178,0.001330238,-0.414560941,0.000131772,0.37975228,0.000512254,0.606538046,2.4758E-09,-0.220058734,0.049832037,-0.041949373,0.711781822
EIF4G3,EIF4G3,EIF4G3,8672,black,-0.441965709,4.05556E-05,-0.406130551,0.000185619,-0.450211614,2.78792E-05,-0.580813929,1.62401E-08,0.204186272,0.069256025,0.468959511,1.14606E-05,-0.215534071,0.054846817,-0.441908999,4.06589E-05,0.258598849,0.020551575,0.551300023,1.1611E-07,-0.071272561,0.529841569,0.212124287,0.058892536
CTDSPL,CTDSPL,CTDSPL,10217,black,-0.440934358,4.24733E-05,-0.385405931,0.000415016,-0.464886075,1.39645E-05,-0.473441725,9.1939E-06,0.229672008,0.040422916,0.544441862,1.78559E-07,-0.272874662,0.014328501,-0.368483177,0.000770691,0.054269257,0.632570408,0.879226004,7.77976E-27,-0.05655383,0.618293148,0.340237098,0.002015336
SEPTIN5,SEPTIN5,SEPTIN5,5413,black,-0.440480475,4.33437E-05,-0.395284941,0.000284669,-0.482828057,5.73673E-06,-0.473725731,9.06546E-06,0.259187467,0.020255447,0.64852607,7.79746E-11,-0.238074785,0.03345571,-0.230760859,0.039457143,-0.03252416,0.77457002,0.881327912,4.08815E-27,-0.055306999,0.626068054,0.523963393,6.10715E-07
F2R,F2R,F2R,2149,black,-0.433989414,5.77508E-05,-0.301050578,0.00665647,-0.356027006,0.001190335,-0.426449117,8.00194E-05,0.126759173,0.262521477,0.367321976,0.000803156,-0.081075752,0.474653061,-0.343709357,0.001799117,0.099686774,0.378974736,0.799522714,6.03024E-19,0.03098051,0.78500506,0.212146705,0.058865164
SNCA,SNCA,SNCA,6622,black,-0.427725026,7.5764E-05,-0.299839005,0.006890185,-0.343303927,0.001823237,-0.503944132,1.88419E-06,0.123696136,0.274321879,0.31793166,0.004054628,-0.162405149,0.15006309,-0.412893552,0.000141113,0.347717773,0.001575669,0.685812125,2.2301E-12,-0.354264442,0.001264091,0.14643397,0.194930308
TNFSF4,TNFSF4,TNFSF4,7292,black,-0.427048651,7.7993E-05,-0.364676475,0.000881815,-0.435882385,5.31463E-05,-0.396580032,0.000270704,0.241986798,0.030573298,0.431653202,6.39439E-05,-0.315202344,0.004401373,-0.405341438,0.00019158,0.070462319,0.534541794,0.915202869,1.60391E-32,-0.016555118,0.884116398,0.182160293,0.105832827
PDGFA,PDGFA,PDGFA,5154,black,-0.42502874,8.50167E-05,-0.425989122,8.16072E-05,-0.431192179,6.52367E-05,-0.302284291,0.006425692,0.425534317,8.32057E-05,0.293635856,0.008203615,-0.26889194,0.015874443,-0.511577921,1.23656E-06,0.147592562,0.191382712,0.717288797,7.16294E-14,0.019741493,0.862013853,-0.083077144,0.463779439
IGF2BP3,IGF2BP3,IGF2BP3,10643,black,-0.419995333,0.000105147,-0.341694704,0.001921873,-0.382351322,0.000465224,-0.380390065,0.000500328,0.232643647,0.037832512,0.22372392,0.046051841,-0.04420367,0.697026493,-0.522591266,6.61272E-07,0.229016802,0.041013475,0.820865491,1.15469E-20,-0.043137711,0.703990043,-0.089527582,0.429677301
GUCY1B1,GUCY1B1,GUCY1B1,2983,black,-0.419001315,0.000109611,-0.335734306,0.002330446,-0.369063672,0.000754913,-0.357884758,0.001116836,0.236263697,0.034865417,0.325185033,0.003248323,-0.13374715,0.236901886,-0.406541333,0.000182584,0.151836301,0.178786388,0.896099053,3.05889E-29,-0.113945929,0.314220464,0.075765354,0.504158149
PKIG,PKIG,PKIG,11142,black,0.41655654,0.000121345,0.424396979,8.73309E-05,0.337385491,0.002210094,0.324103527,0.003358641,-0.43554348,5.39447E-05,-0.149397556,0.185949035,0.14767165,0.191142253,0.293708988,0.008186933,-0.417734016,0.000115555,0.350123344,0.001453918,0.1269117,0.26194299,0.069359285,0.540973494
NCOA4,NCOA4,NCOA4,8031,black,-0.414780525,0.000130585,-0.375108086,0.000607246,-0.421365453,9.92701E-05,-0.46394104,1.46144E-05,0.252507676,0.023839616,0.257934961,0.020890005,-0.168856862,0.134313623,-0.598535394,4.52457E-09,0.335429372,0.002353305,0.679232125,4.33628E-12,-0.107389537,0.343053284,-0.039672235,0.726794884
POLR3K,POLR3K,POLR3K,51728,black,0.413072276,0.000140083,0.432716328,6.1053E-05,0.507456094,1.55427E-06,0.371215092,0.00069897,-0.278774542,0.012278177,-0.46628682,1.30509E-05,0.248638416,0.026152578,0.364975297,0.000872592,-0.080938298,0.475404855,-0.466686922,1.28003E-05,0.067049893,0.554560963,-0.268321775,0.016107124
CALM3,CALM3,CALM3,808,black,-0.41251032,0.000143344,-0.329025121,0.002882296,-0.381257598,0.000484512,-0.338155357,0.002155913,0.148167897,0.189638452,0.392820446,0.000313086,0.010583177,0.925767225,-0.308496758,0.005367583,-0.032339486,0.775816355,0.582598557,1.43282E-08,0.125140181,0.268715129,0.183047826,0.104114476
PGRMC1,PGRMC1,PGRMC1,10857,black,-0.411023899,0.000152312,-0.260067964,0.019819295,-0.271732708,0.01475785,-0.435671075,5.36428E-05,0.138701894,0.21982135,0.337218433,0.002222011,-0.211240204,0.059980246,-0.246741145,0.027354513,0.235063849,0.035826475,0.865477763,3.97399E-25,-0.139270539,0.217917983,0.22295305,0.046826587
GNAZ,GNAZ,GNAZ,NA,black,-0.406780035,0.000180841,-0.489408024,4.08721E-06,-0.575680305,2.31878E-08,-0.371914413,0.000681616,0.437234825,5.0068E-05,0.593486097,6.56349E-09,-0.392606974,0.000315666,-0.426779784,7.88958E-05,-0.033453872,0.76830427,0.684486938,2.55324E-12,0.020403024,0.857437757,0.307116742,0.005588279
